	star	review
1	평점5	"애기랑 사이좋게 하려고 두개 샀어요 😁방울이 엄청 많이 나와요!!! 액도 좋은건지 쿠x에서 산 비눗방울 액은 방울이 아예 안만들아졌었는데 ! 😡아오 이건 속 시원히 아주 빵빵
애기랑 사이좋게 하려고 두개 샀어요 😁
방울이 엄청 많이 나와요!!!
액도 좋은건지 쿠x에서 산 비눗방울 액은
방울이 아예 안만들아졌었는데 ! 😡아오
이건 속 시원히 아주 빵빵 많이 나오네요!!!
! 👍
거기다 불 때 애가 실수로 들이켜도
! !
이거랑 비슷하게 생긴거 과거에 샀었는데
그건 애가 실수로 마시면 입안 가득 거품이였는데😰
요건 그런거 1도 없어서 !!
그리고 라이브 때 엄청난 행운 주셔서 감사해여❤️‍🔥
넘 ㅎㅎ
알라뷰 아가드👍❤️‍🔥"
2	평점5	"요즘 날이 좋아서 외출하면 아기한테 비누방울 불어주고 싶어 구매했어요. 역류방지 기능이 있어 아기가 직접 불면서 놀면 더 좋겠지만 아직 어려서 엄마가 아날로그ㅎㅎ 어린시절 추억 떠
요즘 날이 좋아서 외출하면 아기한테 비누방울 불어주고 싶어 구매했어요. 역류방지 기능이 있어 아기가 직접 불면서 놀면 더 좋겠지만 아직 어려서 엄마가 아날로그ㅎㅎ 어린시절 추억 떠올리며 마구마구 불어줬습니다ㅎㅎ 아기자기 작은 비눗방울이 엄청 풍성하게 나와서 사진 찍기 좋고👍 쉽게 터지지 않아서 더 좋은 것 같아요! 화창한 날 아가드 비눗방울로 행복한 시간 보냈어요💓"
3	평점5	"살짝만 불어줘도 비눗방울 엄청엄청 많이 나와요 거의 쏟아져나오는 수준.ᐟ.ᐟ.ᐟ역류방지설계되어있어서 비눗물 마신적 없었고, 소재도 안전하고 진짜 잘 샀어요요고 하나면 외출 인생샷
살짝만 불어줘도 비눗방울 엄청엄청 많이 나와요 거의 쏟아져나오는 수준.ᐟ.ᐟ.ᐟ
역류방지설계되어있어서 비눗물 마신적 없었고, 소재도 안전하고 진짜 잘 샀어요
요고 하나면 외출 인생샷 무조건 건져요👍👍👍
목욕시간에 비눗방울 불어줘도 대박 좋아해요💙
진짜 찐찐 만족템 남편도 맘에든다고 해죠써요👀❤️"
4	평점5	"비눗방울놀이 너무 재밌어요.....저랑 남편이 더 좋아하는 비눗방울놀이〰️✨🤍여러분 사세요 비눗방울나팔 최고예요...🙌🏻리필용액은 꼭 만들어주세요...🤍 퐁퐁으로 만든 퀄리
비눗방울놀이 너무 재밌어요.....
저랑 남편이 더 좋아하는 비눗방울놀이〰️✨🤍
여러분 사세요 비눗방울나팔 최고예요...🙌🏻
리필용액은 꼭 만들어주세요...🤍 퐁퐁으로 만든 퀄리티랑 차원이 달라요...ㅋㅋㅋ
오랫만에 남편이랑 재밌게 놀았어ㅇ...ㅋㅋㅋ
아가드 사랑해요💛"
5	평점5	"곧 15개월 아기고 역류방지기능 덕분에 아기가 직접 불어볼 수 있는 부분때문에 바로 구매했어요 내일 놀러가서 사용할건데 짜잔 하고 보여줄 생각하니 벌써 기분 좋네용^^
곧 15개월 아기고 역류방지기능 덕분에 아기가 직접 불어볼 수 있는 부분때문에 바로 구매했어요 내일 놀러가서 사용할건데 짜잔 하고 보여줄 생각하니 벌써 기분 좋네용^^"
6	평점4	"내구성이깔끔하고좋아용비눗방울 액을 따로 더사고싶을땐어떻ㄱ하면되나요?그리고 잘안터진다고해서 샀는데비슷한거같아서 별하나뺏어요 ㅠㅠ
내구성이깔끔하고좋아용
비눗방울 액을 따로 더사고싶을땐어떻ㄱ하면되나요?
그리고 잘안터진다고해서 샀는데
비슷한거같아서 별하나뺏어요 ㅠㅠ"
7	평점5	"아기가 걸음마를 제법 하게되니 밖에서 비누방울 놀이하면 좋을거같아 구입했어요.아직 불어본진 않았지만 세트가 좋아보여요ㅎㅎ
아기가 걸음마를 제법 하게되니 밖에서 비누방울 놀이하면 좋을거같아 구입했어요.아직 불어본진 않았지만 세트가 좋아보여요ㅎㅎ"
8	평점5	"라이브 방송때 저렴하게 잘 구매했어요ㅎ 아기가 비눗방울 보는거 좋아해서 날씨 풀리면 갖구나가서 놀아줄려구여~
라이브 방송때 저렴하게 잘 구매했어요ㅎ 아기가 비눗방울 보는거 좋아해서 날씨 풀리면 갖구나가서 놀아줄려구여~"
9	평점5	"빠른배송에 귀여운 패키지 좋아요 비눗방울 구멍도 많고 다만 거치대도 좀 들고 다녀야 하는게 약간 번거롭긴해요
빠른배송에 귀여운 패키지 좋아요
비눗방울 구멍도 많고 다만 거치대도 좀 들고 다녀야 하는게 약간 번거롭긴해요"
10	평점5	"귀여워요 좋아용 오자마자 놀이터 가서 해줬는데 울애기는 아직 8갤차 아기라 관심없고 다른 큰 아가들이랑 놀아주다 왔어요 ㅋㅋㅋ
귀여워요 좋아용 오자마자 놀이터 가서 해줬는데
울애기는 아직 8갤차 아기라 관심없고
다른 큰 아가들이랑 놀아주다 왔어요
ㅋㅋㅋ"
11	평점5	"아기랑 외출하면 해주려고 라방때 저렴하게 구매했어요!비눗방울도 많이나오고 오래가서 사진찍기 좋아요
아기랑 외출하면 해주려고 라방때 저렴하게 구매했어요!
비눗방울도 많이나오고 오래가서 사진찍기 좋아요"
12	평점5	"역류방지가 되어 있어서 구입했습니다. 침이 닫는 부분이라 일반 플라스틱은 염려스러웠는데 옥수수 원료라니 믿을만 합니다
역류방지가 되어 있어서 구입했습니다. 침이 닫는 부분이라 일반 플라스틱은 염려스러웠는데 옥수수 원료라니 믿을만 합니다"
13	평점5	"아직 사용안해봤지만 아가가 좋아했음 좋겠어요근데 액은 어케 바르는거지?ㅎ좀 살펴봐야겠네요ㅋ
아직 사용안해봤지만 아가가 좋아했음 좋겠어요
근데 액은 어케 바르는거지?ㅎ
좀 살펴봐야겠네요ㅋ"
14	평점5	"어린이날 사용하려고 미리 구매 했어요~^^따로 구매하지 않고 비눗방울 세트로 구성되어서 좋아요~^^벌써부터 신나네요^^
어린이날 사용하려고 미리 구매 했어요~^^
따로 구매하지 않고 비눗방울 세트로 구성되어서 좋아요~^^벌써부터 신나네요^^"
15	평점4	"사진찍을때 만족스럽게 썼어요~ 비눗방울이 작게 나와서 조금 아쉬운거 빼고는좋이요👍
사진찍을때 만족스럽게 썼어요~
비눗방울이 작게 나와서 조금 아쉬운거 빼고는
좋이요👍"
16	평점5	"비눗방울이 잘 안터지고 양이 엄청나요!ㅋㅋ아기가 너무 좋아해서 잘산것같습니다!!
비눗방울이 잘 안터지고 양이 엄청나요!ㅋㅋ
아기가 너무 좋아해서 잘산것같습니다!!"
17	평점5	"예전에 자동 비눗방울을 산 적있는데 잘 안되더라구요 근데 이거는 정말 잘돼요! 일단 가볍고 비눗방울이 많이 나와요 아기가 불어도 잘 될 거 같아요 ^^
예전에 자동 비눗방울을 산 적있는데 잘 안되더라구요 근데 이거는 정말 잘돼요! 일단 가볍고 비눗방울이 많이 나와요 아기가 불어도 잘 될 거 같아요 ^^"
18	평점4	"실리콘소재면 더 좋았을것 같아요 조금 이염이 있지만 비눗방울은 잘되네요
실리콘소재면 더 좋았을것 같아요 조금 이염이 있지만 비눗방울은 잘되네요"
19	평점5	"오자마자 가지고 나가서 불어주니 아이가 너무 좋아하네요. 비눗방울 크기가 작아서 아이가 손으로 터트리면서 잘 놀았어요.
오자마자 가지고 나가서 불어주니
아이가 너무 좋아하네요. 비눗방울 크기가 작아서 아이가 손으로 터트리면서 잘 놀았어요."
20	평점5	"날씨가 좋아 아가랑 밖에서 즐겁게 사용하고 왔어요! 잘 안터져서 굿?!!!!!
날씨가 좋아 아가랑 밖에서 즐겁게 사용하고 왔어요! 잘 안터져서 굿?!!!!!"
21	평점5	"간편하게 많은 양의 비누방울도 만들고 즐겁게 놀 수 있는 물건입니다.
간편하게 많은 양의 비누방울도 만들고 즐겁게 놀 수 있는 물건입니다."
22	평점5	"아직 해보진 못했지만 기대중이에요!ㅋㅋ애기가 좋아했음 좋겠네요ㅋ
아직 해보진 못했지만 기대중이에요!ㅋㅋ
애기가 좋아했음 좋겠네요ㅋ"
23	평점5	"놀라가서 해주려고 구매했어요! 알고있던 비누방울이라 만족입니다 ~
놀라가서 해주려고 구매했어요! 알고있던 비누방울이라 만족입니다 ~"
24	평점5	"아이 선물 줬는데 엄청 좋아해요 선물 포장까지 예쁘게 했어요 네모난 상자에 담아주셔서 좋았네요 크기는 물티슈만 해요
아이 선물 줬는데 엄청 좋아해요 선물 포장까지 예쁘게 했어요 네모난 상자에 담아주셔서 좋았네요 크기는 물티슈만 해요"
25	평점5	"비누방울이 한번에 수십개~~정도많이 나와요ㅎ 아이도 좋아해요!!
비누방울이 한번에 수십개~~정도많이 나와요ㅎ 아이도 좋아해요!!"
26	평점5	"아기가 우선 좋아하고 사진 찍을 때도 너무 잘 나와서 좋았어요~
아기가 우선 좋아하고 사진 찍을 때도 너무 잘 나와서 좋았어요~"
27	평점5	"조그마한 비눗방울들이 안터지고 촤라락 날리는게 너무 예뻐요
조그마한 비눗방울들이 안터지고 촤라락 날리는게 너무 예뻐요"
28	평점5	"날씨 따뜻해지면 아기랑 밖에 산책할때 해보려고 구매했어요
날씨 따뜻해지면 아기랑 밖에 산책할때 해보려고 구매했어요"
29	평점5	"귀여워요 ㅎㅎ 아기는아직 불지 못해 엄마인 제가 즐겁넹요
귀여워요 ㅎㅎ 아기는
아직 불지 못해 엄마인 제가 즐겁넹요"
30	평점3	"아무래도 입으로 불어야하니 풍성하게 나오진 않아요..ㅠㅠ
아무래도 입으로 불어야하니 풍성하게 나오진 않아요..ㅠㅠ"
31	평점5	"작아서 휴대하기도 쉽고 무엇보다 아기가 넘 좋아해요~~!!
작아서 휴대하기도 쉽고 무엇보다 아기가 넘 좋아해요~~!!"
32	평점5	"아직 사옹은 안햇지만 아기가 퍙소애 비눗방울 좋아해요
아직 사옹은 안햇지만 아기가 퍙소애 비눗방울 좋아해요"
33	평점4	"빨리왔어요~본체는 한국인데 액상은 중국제품이네요 ㅠ
빨리왔어요~
본체는 한국인데 액상은 중국제품이네요 ㅠ"
34	평점5	"제주도 여행가서 스냅샷 찍을때 사용하려고 구매했어용
제주도 여행가서 스냅샷 찍을때 사용하려고 구매했어용"
35	평점5	"산책할때 놀아주려고 구매해요 역류가 안된다니 좋네요
산책할때 놀아주려고 구매해요 역류가 안된다니 좋네요"
36	평점5	"아직 사용전인데 나들이 갈때 불어주려고 구매했어요~
아직 사용전인데 나들이 갈때 불어주려고 구매했어요~"
37	평점4	"아직은 어려서 잘 못해요어른들이 불어주고 있어요
아직은 어려서 잘 못해요
어른들이 불어주고 있어요"
38	평점5	"배송도 빠르고거품도잘나요아기가 엄청좋아해요
배송도 빠르고
거품도잘나요
아기가 엄청좋아해요"
39	평점5	"세상에 배송도 빠르고 안전하게 너무잘왔어요! 애기랑 놀기에도 너무좋은거같아요! 주말에 해줘야겠어요 갓언니 이런 혜택 너무 좋아요 :3
세상에 배송도 빠르고 안전하게 너무잘왔어요!
애기랑 놀기에도 너무좋은거같아요! 주말에 해줘야겠어요 갓언니 이런 혜택 너무 좋아요 :3"
40	평점5	"아직 아기가 불지는 못 하지만 너무 좋아해요^^
아직 아기가 불지는 못 하지만 너무 좋아해요^^"
41	평점5	"조동이 쓰는거 보고 갠찮은거 같아 구매햇어요
조동이 쓰는거 보고 갠찮은거 같아 구매햇어요"
42	평점5	"오 엄청 잘 불려요!! 콕콕 찍어서 후~하면 비누방울이 많이 나와요! 잘 터지지도 않는 것 같구요 ㅎㅎ 아직 아가가 7개월이라 제가 열심히 불고 있어요 애엄마가 만족하는 템?ㅎㅎㅎ
오 엄청 잘 불려요!! 콕콕 찍어서 후~하면 비누방울이 많이 나와요! 잘 터지지도 않는 것 같구요 ㅎㅎ 아직 아가가 7개월이라 제가 열심히 불고 있어요 애엄마가 만족하는 템?ㅎㅎㅎ"
43	평점5	"아직 안써봤눈데 아기가 좋아했음 좋겠네요
아직 안써봤눈데 아기가 좋아했음 좋겠네요"
44	평점5	"아직사용은못해봄 나들이나갈때써보려구요
아직사용은못해봄 나들이나갈때써보려구요"
45	평점5	"만족합니다! 목걸이로 나왓음 더 좋겟어요
만족합니다! 목걸이로 나왓음 더 좋겟어요"
46	평점5	"방울도 잘 날라가고 아이가 재밌어 해요
방울도 잘 날라가고 아이가 재밌어 해요"
47	평점5	"아기가 너무 좋아할 것 같아 기대돼요❤
아기가 너무 좋아할 것 같아 기대돼요❤"
48	평점5	"이번에 캠핑가면 써보려고 구매했어요:)
이번에 캠핑가면 써보려고 구매했어요:)"
49	평점5	"방울도 오래가고 아기가 너무 좋아해요
방울도 오래가고 아기가 너무 좋아해요"
50	평점5	"너무 자잘하게 나와서 좀 아쉬워요ㅠㅠ
너무 자잘하게 나와서 좀 아쉬워요ㅠㅠ"
51	평점5	"아직 사용 안해봤지만 마음에 들어요~~
아직 사용 안해봤지만 마음에 들어요~~"
52	평점3	"세워서해야되서 ..좀불편한감이있어요
세워서해야되서 ..좀불편한감이있어요"
53	평점5	"귀엽고 얼릉 날 좋은날 해주고 시퍼요
귀엽고 얼릉 날 좋은날 해주고 시퍼요"
54	평점5	"목욕할 때 해줬는데 너무 좋아하네용
목욕할 때 해줬는데 너무 좋아하네용"
55	평점5	"너무좋아하네요목욕시간이 재밋어요
너무좋아하네요
목욕시간이 재밋어요"
56	평점5	"아직 사용은 안해밨지만 좋길바라며
아직 사용은 안해밨지만 좋길바라며"
57	평점5	"거품이진짜잘나네용아기가좋아해용
거품이진짜잘나네용
아기가좋아해용"
58	평점5	"아직 사용전이지만 귀엽고 좋아요 :)
아직 사용전이지만 귀엽고 좋아요 :)"
59	평점5	"잘불어지고 좋아요배송도 빨랐어요
잘불어지고 좋아요
배송도 빨랐어요"
60	평점5	"아이가 조아해요. 잘 가지고 놉니다
아이가 조아해요. 잘 가지고 놉니다"
61	평점5	"아기가 잼있어서합니다 잘샀어요
아기가 잼있어서합니다 잘샀어요"
62	평점4	"아이가 잘 불지는 못하네요 ㅠㅠ
아이가 잘 불지는 못하네요 ㅠㅠ"
63	평점5	"제주도가서 너무 잘 사용했어요
제주도가서 너무 잘 사용했어요"
64	평점5	"친정에 갖다놓고 잘쓰고있어요~
친정에 갖다놓고 잘쓰고있어요~"
65	평점5	"아직사용전이지만좋을거같아요
아직사용전이지만
좋을거같아요"
66	평점5	"잘 불리고 엄청 많이 나와요 ㅋ
잘 불리고 엄청 많이 나와요 ㅋ"
67	평점5	"비눗방울 좋아해서 구매했어요
비눗방울 좋아해서 구매했어요"
68	평점3	"나쁘지않아요 아기는 좋아해요
나쁘지않아요 아기는 좋아해요"
69	평점5	"비눗방울이 많이나와서 좋아요
비눗방울이 많이나와서 좋아요"
70	평점5	"아직 사용전이지만 기대되요!
아직 사용전이지만 기대되요!"
71	평점5	"아이가좋아해요봄에역시꿀템
아이가좋아해요
봄에역시꿀템"
72	평점5	"너무 조아요ㅎㅎ맘에들어요
너무 조아요ㅎㅎ맘에들어요"
73	평점5	"아기가 너무 좋아해요 ㅎㅎ
아기가 너무 좋아해요 ㅎㅎ"
74	평점5	"아이들이 많이 좋아했어요~
아이들이 많이 좋아했어요~"
75	평점5	"아가드라 믿고 주문했어요
아가드라 믿고 주문했어요"
76	평점5	"거품이 풍성하고 오래가요
거품이 풍성하고 오래가요"
77	평점5	"비눗방울이 적은 호흡으로 아주 풍성하게 잘불려요 ㅎㅎ 만족만족 굿굿
비눗방울이 적은 호흡으로 아주 풍성하게 잘불려요 ㅎㅎ 만족만족 굿굿"
78	평점5	"4월에 놀러가서 쓰려고 구매했어요 아이가 좋아해줬으면 좋겠어요!! 배송 너무 빨라서 좋아요
4월에 놀러가서 쓰려고 구매했어요
아이가 좋아해줬으면 좋겠어요!!
배송 너무 빨라서 좋아요"
79	평점5	"아이가 엄청 좋아하네요
아이가 엄청 좋아하네요"
80	평점5	"비눗방울 좋아하네요ㅎ
비눗방울 좋아하네요ㅎ"
81	평점5	"비눗방울 많이 나와요!
비눗방울 많이 나와요!"
82	평점5	"아이가 너무 좋아해용
아이가 너무 좋아해용"
83	평점5	"아기가 좋아합니다 굿
아기가 좋아합니다 굿"
84	평점5	"아기가 좋아해요 ㅎㅎ
아기가 좋아해요 ㅎㅎ"
