,type,category,review,star
1,비눗방울,리뷰,"애기랑 사이좋게 하려고 두개 샀어요 😁방울이 엄청 많이 나와요!!! 액도 좋은건지 쿠x에서 산 비눗방울 액은 방울이 아예 안만들아졌었는데 ! 😡아오 이건 속 시원히 아주 빵빵
애기랑 사이좋게 하려고 두개 샀어요 😁
방울이 엄청 많이 나와요!!!
액도 좋은건지 쿠x에서 산 비눗방울 액은
방울이 아예 안만들아졌었는데 ! 😡아오
이건 속 시원히 아주 빵빵 많이 나오네요!!!
! 👍
거기다 불 때 애가 실수로 들이켜도
! !
이거랑 비슷하게 생긴거 과거에 샀었는데
그건 애가 실수로 마시면 입안 가득 거품이였는데😰
요건 그런거 1도 없어서 !!
그리고 라이브 때 엄청난 행운 주셔서 감사해여❤️‍🔥
넘 ㅎㅎ
알라뷰 아가드👍❤️‍🔥",5
2,비눗방울,리뷰,"요즘 날이 좋아서 외출하면 아기한테 비누방울 불어주고 싶어 구매했어요. 역류방지 기능이 있어 아기가 직접 불면서 놀면 더 좋겠지만 아직 어려서 엄마가 아날로그ㅎㅎ 어린시절 추억 떠
요즘 날이 좋아서 외출하면 아기한테 비누방울 불어주고 싶어 구매했어요. 역류방지 기능이 있어 아기가 직접 불면서 놀면 더 좋겠지만 아직 어려서 엄마가 아날로그ㅎㅎ 어린시절 추억 떠올리며 마구마구 불어줬습니다ㅎㅎ 아기자기 작은 비눗방울이 엄청 풍성하게 나와서 사진 찍기 좋고👍 쉽게 터지지 않아서 더 좋은 것 같아요! 화창한 날 아가드 비눗방울로 행복한 시간 보냈어요💓",5
3,비눗방울,리뷰,"살짝만 불어줘도 비눗방울 엄청엄청 많이 나와요 거의 쏟아져나오는 수준.ᐟ.ᐟ.ᐟ역류방지설계되어있어서 비눗물 마신적 없었고, 소재도 안전하고 진짜 잘 샀어요요고 하나면 외출 인생샷
살짝만 불어줘도 비눗방울 엄청엄청 많이 나와요 거의 쏟아져나오는 수준.ᐟ.ᐟ.ᐟ
역류방지설계되어있어서 비눗물 마신적 없었고, 소재도 안전하고 진짜 잘 샀어요
요고 하나면 외출 인생샷 무조건 건져요👍👍👍
목욕시간에 비눗방울 불어줘도 대박 좋아해요💙
진짜 찐찐 만족템 남편도 맘에든다고 해죠써요👀❤️",5
4,비눗방울,리뷰,"비눗방울놀이 너무 재밌어요.....저랑 남편이 더 좋아하는 비눗방울놀이〰️✨🤍여러분 사세요 비눗방울나팔 최고예요...🙌🏻리필용액은 꼭 만들어주세요...🤍 퐁퐁으로 만든 퀄리
비눗방울놀이 너무 재밌어요.....
저랑 남편이 더 좋아하는 비눗방울놀이〰️✨🤍
여러분 사세요 비눗방울나팔 최고예요...🙌🏻
리필용액은 꼭 만들어주세요...🤍 퐁퐁으로 만든 퀄리티랑 차원이 달라요...ㅋㅋㅋ
오랫만에 남편이랑 재밌게 놀았어ㅇ...ㅋㅋㅋ
아가드 사랑해요💛",5
5,비눗방울,리뷰,"곧 15개월 아기고 역류방지기능 덕분에 아기가 직접 불어볼 수 있는 부분때문에 바로 구매했어요 내일 놀러가서 사용할건데 짜잔 하고 보여줄 생각하니 벌써 기분 좋네용^^
곧 15개월 아기고 역류방지기능 덕분에 아기가 직접 불어볼 수 있는 부분때문에 바로 구매했어요 내일 놀러가서 사용할건데 짜잔 하고 보여줄 생각하니 벌써 기분 좋네용^^",5
6,비눗방울,리뷰,"내구성이깔끔하고좋아용비눗방울 액을 따로 더사고싶을땐어떻ㄱ하면되나요?그리고 잘안터진다고해서 샀는데비슷한거같아서 별하나뺏어요 ㅠㅠ
내구성이깔끔하고좋아용
비눗방울 액을 따로 더사고싶을땐어떻ㄱ하면되나요?
그리고 잘안터진다고해서 샀는데
비슷한거같아서 별하나뺏어요 ㅠㅠ",4
7,비눗방울,리뷰,"아기가 걸음마를 제법 하게되니 밖에서 비누방울 놀이하면 좋을거같아 구입했어요.아직 불어본진 않았지만 세트가 좋아보여요ㅎㅎ
아기가 걸음마를 제법 하게되니 밖에서 비누방울 놀이하면 좋을거같아 구입했어요.아직 불어본진 않았지만 세트가 좋아보여요ㅎㅎ",5
8,비눗방울,리뷰,"라이브 방송때 저렴하게 잘 구매했어요ㅎ 아기가 비눗방울 보는거 좋아해서 날씨 풀리면 갖구나가서 놀아줄려구여~
라이브 방송때 저렴하게 잘 구매했어요ㅎ 아기가 비눗방울 보는거 좋아해서 날씨 풀리면 갖구나가서 놀아줄려구여~",5
9,비눗방울,리뷰,"빠른배송에 귀여운 패키지 좋아요 비눗방울 구멍도 많고 다만 거치대도 좀 들고 다녀야 하는게 약간 번거롭긴해요
빠른배송에 귀여운 패키지 좋아요
비눗방울 구멍도 많고 다만 거치대도 좀 들고 다녀야 하는게 약간 번거롭긴해요",5
10,비눗방울,리뷰,"귀여워요 좋아용 오자마자 놀이터 가서 해줬는데 울애기는 아직 8갤차 아기라 관심없고 다른 큰 아가들이랑 놀아주다 왔어요 ㅋㅋㅋ
귀여워요 좋아용 오자마자 놀이터 가서 해줬는데
울애기는 아직 8갤차 아기라 관심없고
다른 큰 아가들이랑 놀아주다 왔어요
ㅋㅋㅋ",5
